Endpoint     c   runs  P50    P90    P97.5  P99    Max    RPS    non2xx
--------------------------------------------------------------------------------
auth_me       10     3     12     16     21   24.3    224    761      0
auth_me       25     3     24   30.3     36   43.3    277   1054      0
auth_me       50     3   42.3     59     67     73    248   1147      0
docs_wiki     10     3   30.3   37.7     44   48.7    104    319      0
docs_wiki     25     3   76.3   93.7  104.7  110.7    308    319      0
docs_wiki     50     3  154.7    185  205.7  214.7    575    318      0
issues        10     3  162.7  201.7    231  260.7    320     61      0
issues        25     3    321    426  644.7 2031.7   4747     80      0
issues        50     3  800.7  921.7    977 1002.7   1125     61      0
my_work       10     3   25.3   37.7   54.7   75.3    243    359      0
my_work       25     3   59.7   89.3  118.7  149.3    744    387      0
my_work       50     3  126.3  169.3  211.7  238.3    834    377      0
weeks         10     3     21   29.7   47.7   73.3    915    426      0
weeks         25     1     87    176    994   1564   2773    158      0
weeks         50     3    125  243.7  826.7    983   2799    375      0
